Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_clone_repo_via_ssh,3,6785,6713,7223,7286,7337,6293,7350,0.0
jmeter_create_repo_shallow_copy,5,57,33,105,123,138,30,142,0.0
jmeter_git_add,70,3,2,3,5,8,2,8,0.0
jmeter_git_commit,70,5,5,6,8,12,4,14,0.0
jmeter_git_push_via_ssh,49,299,288,348,369,466,240,522,0.0
jmeter_git_fetch_via_ssh,49,564,553,635,668,789,438,861,0.0
jmeter_clone_repo_via_http,2,6796,6796,6901,6914,6924,6666,6927,0.0
jmeter_git_push_via_http,21,270,260,297,326,336,237,339,0.0
jmeter_git_fetch_via_http,21,358,427,463,472,474,106,474,0.0
selenium_login:open_login_page,145,166,151,235,248,282,144,445,0.0
selenium_login:login_get_started,145,314,312,320,334,376,287,566,0.0
selenium_login,145,570,554,637,650,708,531,1104,0.0
selenium_view_dashboard,145,1128,1153,1200,1215,1262,379,1600,0.0
selenium_create_pull_request:create_pull_request,145,6311,6316,6465,6502,6639,5929,6669,0.0
selenium_create_pull_request:merge_pull_request,145,1368,1283,1793,1795,1801,1273,1802,0.0
selenium_create_pull_request,145,8722,8670,9127,9182,9278,8249,9475,0.0
selenium_view_projects,145,438,426,496,515,577,336,755,0.0
selenium_view_project_repositories,145,249,248,256,277,294,237,310,0.0
selenium_view_repository,145,361,330,369,663,675,319,731,0.0
selenium_view_list_pull_requests,145,352,351,380,389,415,317,436,0.0
selenium_view_pull_request_overview,145,798,531,1167,1182,1224,438,1386,0.0
selenium_view_pull_request_diff,145,624,503,913,927,959,455,1058,0.0
selenium_view_pull_request_commits,145,918,915,939,964,998,528,1085,0.0
selenium_comment_pull_request_file,145,1814,1808,1923,1961,2041,1629,2112,0.0
selenium_comment_pull_request_overview,145,1096,1122,1156,1160,1177,798,1196,0.0
selenium_view_branches,145,845,839,891,902,914,809,917,0.0
selenium_view_commits,145,1124,1116,1177,1188,1207,1074,1221,0.0
selenium_app_custom_action:view_snippets_page,145,632,615,690,704,736,581,1021,0.0
selenium_app_custom_action,145,632,615,690,705,736,581,1021,0.0
selenium_log_out,145,154,153,161,165,186,144,193,0.0
